company_name,job_count,job_titles,search_terms_matched,locations
THE SUPREME HR ADVISORY PTE. LTD.,137,"2 Months | Accounting Executive [ Navision !! | Full Set ]; 6723 - Construction Project Manager – Main Contractor (Islandwide Projects) | $8,000–$10,700; 6723 - International Marketing & Communications Executive [B2B Marketing | Boon Lay]; 6723 - International Marketing & Communications Executive [B2B Marketing | Medical Device | Up to $5k | Boon Lay]; 6723 - Nursing Home Staff Nurse – Rotating Shifts | SNB | Salary up to $4,420; 6723 - Project Manager (Building Construction) | Main Contractor | $8,000–$10,700; 6723 - Project Manager – Building Construction (ISO  /  WSH  /  Budget Control) | $8,000–$10,700; 6723 - Quality Control Executive (Food Science); 6723 - Registered Staff Nurse – Nursing Home Operations | SNB | Salary up to $4,420; 6723 - Senior Project Manager – Residential & Commercial Construction | $8K–$10.7K; 6723 - Shipping Executive; 6723 - Shipping Executive [Jurong West | 5 days]; 6723 - Shipping Executive [$2800 - $3300 | Full Set of Shipping Documentation]; 6723 - Staff Nurse (Nursing Home  /  Aged Care) | SNB Registered | $2,730–$4,420; 6723 - Staff Nurse (Residential Care Facility) | SNB | $2.7K–$4.4K; 6723 - Staff Nurse – Nursing Home Clinical Services | SNB Registered | $2.7K–$4.4K; AB03 - Quality Control Executive; AB03 - Shipping Executive; Accounting Officer | Expo MRT | Up to $4,000; Accounts Executive | Expo MRT | Up to $4,000; Accounts Officer [East] | Expo MRT | Up to $4,000; Admin Officer ( Changi ) | 1618; C&S Engineer | A1 Main Contractor | Civil Construction; Class 3 Van Driver cum Pet Funeral | Kaki Bukit Office; Commercial Executive (Project Freight Forwarding) - SS10; Commercial Executive (Project Freight Forwarding) [Fort Canning | 5 days | up to $5500] - LCYL; Commercial Executive [Project Freight Forwarding] - 2323; Commercial Executive | Project Freight Forwarding | Fort Canning | 5 Days | Up To $5.5K - 4461; Construction Project Coordinator | Woodlands - YZ11; Customer Service Coordinator [Freight Forwarding  /  Shipping] - 5 days | Bukit Batok [0580]; Customer Service Executive (Entry Level welcome, Freight forwarding, Mass Hiring!) [Bukit Merah | 5 days | up to $3500] - LCYL; Customer Service Executive (Freight forwarding) [Fort Canning | 5 days | up to $3200] - LCYL; Customer Service Executive (Sea freight) [Marymount | 5 days | up to $3200++] - LCYL; Customer Service Executive - Freight forwarding  /  Bukit Merah  /  Import  /  Export [2683]; Customer Service Executive [Fort Canning | 5 days | up to $3500] - LCYL; Customer Service Executive [Freight forwarding] - 2323; Field Support Executive (Operation & Business Development for Tuition Centre)  - YZ11; Food Quality Assurance Executive - EH03; Food Safety & QA Executive [Quality Control | Day Shift | Weekday Role] – EH03; Food Science Technology Quality Control Executive | Woodlands - YZ11; Full Set Accounts Executive [ Navision !! | 2 Months Contract Only ]; Indoor Sales Executive [Fort Canning | 5 days | up to $3500] - LCYL; International Marketing & Communications Executive | 5 Days | Up To $5K - 4461; International Marketing Executive ( Healthcare Leads) - YZ11; International Marketing Executive | Global Travel | Healthcare Industry | 5 Days | Up To $5K - 4461; International Marketing Executive | Healthcare Industry | 5 Days | Up To $5K - 4461; KY11 - Shipping Executive [EXP in Shipping documents | Woodlands]; Logistic Officer ( Sea Freight ) | 1618; Logistic Officer | 1618; Logistics Operations Executive [Supply Chain Support | 5-Day Work Week | Onsite] – EH03; Marketing & Communications Executive (Healthcare  /  Global Markets) [0580]; Marketing Communications Executive | Event Planning | Global Travel | Healthcare Industry | 5 Days | Up To $5K - 4461; Operation Executive (Changi) - SS10; Operation Executive (Import & Export Permit) - Training Provided | Changi; Operation Executive - Import & Export Permit  /  Changi  /  Airfreight [2683]; Operation Executive | Import & Export Permit | Changi | 5.5 Days | Up To $3.2K - 4461; Operations Coordinator (Freight forwarding) [Fort Canning | 5 days | up to $3200] - LCYL; Operations Coordinator (Ocean Freight) - 2323; Procurement Executive (Sourcing) [Ang Mo Kio | 5 days | up to $4000] - LCYL; QC Executive  /  Technician [ Food Science  /  Food tech ] 7094; Quality Assurance Executive (Food) [Food Manufacturing | 5-Day Work Week | Onsite] – EH03; Quality Control Executive (Food Seasoning  /  Food Science  /  5 Days Work) - SS10; Quality Control Executive (Training Provided  / Boon Lay) - SS10; Quality Control Executive / Assistant (Food Manufacturing) - SS10; Quality Control Executive [Woodlands | 5 days | up to $3000] - LCYL; Sales Clerk ( ID Firm ) | 1618; Sales Coordinator ( Changi ) | 1618; Sales Coordinator ( Oil & Gas Industry ) | 1618; Senior Civil Structural Engineer | Degree Holder; Shipping Clerk | 1618; Shipping Executive  @ Woodlands - SM09; Shipping Executive (L / C  / Shipping Documents  /  Woodland) - SS10; Shipping Executive (Manufacturing Industry); Shipping Executive (Shipping documents  /  FTA Certification Application) - SS10; Shipping Executive (Woodland  /  LC  /  5 Days Work) - SS10; Shipping Executive (Woodland) - SS10; Shipping Executive - Food Manufacturing  /  West  /  5 days [2683]; Shipping Executive [Jurong West |5 days | up to $3100 + Allowance] - LCYL; Shipping Executive [Jurong West] - 2323; Shipping Executive [Woodlands | 5 days | up to $3300] - LCYL; Shipping Executive | 5 Days-6681; Shipping Executive | Jurong West | 5 Days | Up To $3.2K + AWS + VB - 4461; Shipping Executive | Up to $3.1K | 5 Days | Jurong - 0310; Shipping Executive | Woodlands - YZ11; Shipping Executive- 0115; Shipping Executive - EH03; Shipping Executive [Full Set] - 2323; Shipping Executive | Up to $3.3K | 5 Days | Woodland - 0310; Staff Nurse (6 days 42 hour) - 0220; Van Driver cum Pet Funeral Operations| Kaki Bukit Office",Compliance Executive; Documentation Executive; Export Coordinator; Food Safety Executive; Food Safety Manager; Import Coordinator; Import Export Executive; Logistics Coordinator; Logistics Executive; Operations Executive; Procurement Executive; QA Executive; QC Executive; Quality Assurance Executive; Quality Control Manager; Quality Manager; Regulatory Affairs Executive; Shipping Executive; Supply Chain Coordinator; Supply Chain Executive; Trade Compliance Executive; Warehouse Executive,Central; Islandwide
WECRUIT PTE. LTD.,124,"Admin Executive (Corporate Affairs) - WCAN; Administrative & Logistics Coordinator - WCAN; Air Freight Operations Executive (East  /  5.5 days) [EL]; Customer Service Coordinator [Delivery Order, Delivery, Semiconductor Industry] - WCAN; Digital Solutions Sales Executive - WCAN; Document Controller (Construction) [SL]; Freight Executive (Air Freight); Freight Forwarding Operations Executive (East  /  5.5 days) [EL]; Freight Operations Executive (East  /  Shift Work) [EL]; Freight Sales Executive [Japanese Clients] - WCAN; HR & Administrative Executive [Full Spectrum] - WCAN; Inventory & Production Planning Coordinator - WCAN; Logistics Operations Executive (East  /  5.5 days) [EL]; Logistics Sales Coordinator - WCAN; Logistics Sales Executive - WCAN; Logistics Tender Executive; Marine Logistics Coordinator [EL]; Ocean Freight Executive (5 days) [EL]; Ocean Freight Executive [EL]; Operations Excellence Executive (Freight Forwarding); Order Management Executive - WCAN; Purchasing Executive (Construction) [SL]; Purchasing Executive (Lighting) [SL]; Purchasing Executive [SL]; QA /  QC Executive (Food Manufacturing) - Senoko - WCDT; QA /  QC Executive (Manufacturing) - North - WCDT; QC Executive /  Asst Manager (Logistics & Packaging) - North - WCDT; Quality & Process Improvement Executive (Freight Forwarding); Regional Tender Executive (Logistics  /  3PL); SCM Executive (Regional  /  HI-Tech industry  /  Central)  [SAS]; Sales & Business Development Executive [Logistics  /  Supply Chain] - WCAN; Sales Coordinator [Central, B2B, Electronics Industry] - WCAN; Sales Executive (Logistics & Freight Forwarding) - East - WCDT; Sales Manager  /  Senior Sales Executive [Japanese Speaker] - WCAN; Senior Finance Executive (Engineer) [EL]; Senior Human Resource Executive [Full Spectrum] - WCAN; Sonographer  /  Radiographer (Mammogram) [HC]; Strategic Sales Executive [Freight & Logistics] - WCAN; Supply Chain Management Executive (Regional - Japanese Electronics MNC)  [SAS]; Trading & Operations Executive - WCAN",Document Controller; Import Export Executive; Logistics Coordinator; Logistics Executive; Procurement Executive; QA Executive; QA Manager; QC Executive; Regulatory Affairs Executive; Shipping Executive; Supply Chain Coordinator; Supply Chain Executive; Trade Compliance Executive; Warehouse Executive,Islandwide
ANRADUS PTE. LTD.,81,Accounts & HR Admin Executive #79906; Accounts Executive #79902; Admin & Accounts Executive (Corporate Support) #80833; Admin Executive #70840; Associate HR Manager  /  Assistant HR Manager #79249; Business Development  /  Sales Executive (Construction) #81146; Central Kitchen Manager #81761; Clinic Executive #81832; Customer Service Executive (Sales Support) #79352; Dispatch Coordinator #69996; Document Controller #73466; Ecommerce and Logistics Coordinator #79903; Export Sales Coordinator #80732; F&B Supervisor #81437; HR Executive  /  HR Executive cum PA #80905; HSSEQ Executive #66120; Inside Sales Coordinator #78315; Inventory Coordinator #74611; Logistic Coordinator  /  Customer Service Executive #74342; Logistics /  Shipping Coordinator (Import & Export Documentation) #79574; Logistics Executive /  Warehouse Executive #80445; Operations Executive #72520; Operations Executive #79351; Parts & Logistics Executive #77094; Program Planner Executive #70948; Project Coordinator #72106; Project Engineer  /  Project Manager #79391; Project Engineer (Civil  /  Roadwork) #79717; Purchasing Executive #81403; QA / QC Manager (Construction  /  Facade Projects) #79537; QA Engineer  /  Assistant QA Engineer #76200; QA Executive cum QMR #78153; QA Manager  /  Senior Quality Manager #81796; Quality Assurance Executive (Education Industry) #78601; Quantity Surveyor /  Contracts Executive #79429; Regional Manager #81760; Sales & Operation Branch Manager （UAE / Dubai) #80260; Sales Admin  /  Sales Executive #74417; Sales Coordinator  /  Sales Admin #81222; Sales Executive #70915; Sales Executive (Freight Forwarding) #77821; Senior Accounts Executive #79501; Shipping Executive #79682; Shipping Executive #81007; Spare Parts Executive #75804; Supply Chain Manager #81370; Technical Sales Engineer (Projects & Solutions) #79979; Transport Executive #77020,Compliance Executive; Document Controller; Documentation Executive; Export Coordinator; Food Safety Executive; Food Safety Manager; Import Coordinator; Import Export Executive; Logistics Coordinator; Logistics Executive; Operations Executive; Procurement Executive; QA Executive; QA Manager; Quality Assurance Executive; Quality Control Manager; Quality Manager; Shipping Executive; Supply Chain Coordinator; Supply Chain Executive; Trade Compliance Executive; Warehouse Executive,Islandwide
RECRUITPEDIA PTE. LTD.,46,Facilities Executive (Logistics MNC); HR Executive (Full spectrum)  /  Manufacturing MNC  /  Central; Inventory Management Executive (FMCG) 1 Year Contract; Lab Assistant (Chemical Manufacturing MNC); Logistics Executive (PowerBI) MNC; Logistics Operations Executive (3PL Logistics MNC); Operations Supervisor (3PL Logistics MNC); Procurement Coordinator (Supply Chain); Quality Executive (3PL Warehouse); Senior /  Building Executive (Commercial Building); Senior Building Executive (soft services); Supply Chain & Logistics Coordinator (incoterms /  SAP); Supply Chain Coordinator (incoterms /  PO),Export Coordinator; Import Coordinator; Import Export Executive; Logistics Coordinator; Logistics Executive; Procurement Executive; QA Manager; QC Executive; Supply Chain Coordinator; Warehouse Executive,Islandwide
RECRUIT EXPERT PTE. LTD.,37,"BIM Coordinator (M&E); Business Support Executive (Construction / Engineering); Commissioning Manager (Construction, M&E); Customer Service Executive (Marine Logistics, East); Document Controller (LTA, 5 days); QA / QC Executive (North, Food Manufacturing); Shipping Coordinator (East, Freight Forwarding)",Document Controller; Export Coordinator; Food Safety Executive; Import Coordinator; Import Export Executive; Logistics Coordinator; Logistics Executive; QA Manager; QC Executive,Central
RECRUIT EXPRESS PTE LTD,36,"(Healthcare Logistics) Procurement Executive UP$4500 @Kallang [Dip  /  Deg in Supply Chain, Business] #HCY; *New* Admin Assistant (Office Hours, 5 Days, No Experience Required – Training Provided) #HJG; 6 Months Compliance Executive (Up to $4,000)  #NJN; 6 Months Private Banking Operations Officer  /  Executive #BCL; 6 to 12 Months Compliance Executive (Up to $4,000) #BTS; <contract> Senior Project Manager #IFL; <contract> Senior Project Manager (loan processing, trading systems) #IFL; Compliance Executive (contract) #ESY; Executive, Operations (Healthcare) #HYN; Facilities Executive (Jap MNC) #HHL; Operation Coordinator (Supply Chain) #HAC; Procurement Executive (Bukit Batok) #NKC; Procurement Executive (Up to $4,000) #NKC; Project & Operations Manager (MCST) #ESY; QA Executive (Beverage  /  Dairy) - WEST -  #HHL; QA Executive (Beverage  /  Dairy) - West #HZO; QA Executive (FMCG) - WEST  #HHL; QA Executive (Food /  West) #HZO; Regional Shipping Executive #JTL; Registered WHS Officer #TohGuan #Logistics #Factory #NJH; Regulatory affairs Executive ( Up 4.6 K ) - Medical Devices MNC #HCT; Senior  /  Projects & Operations Manager #MCST #MixedDevelopment #ShoppingMall; Senior / Executive (Clinical Operations, public healthcare) #HCL; Senior MCST Project & Ops Manager (Shopping mall) #NKC; Senior Project Manager #IFL; Senior Property /  Facilities Manager (MCST Project & Ops) #NKC; Senior Regulatory Affairs / QA Executive (SW Jan / Feb 26 , Up 5 K )  - Medical Devices MNC #HVN",Compliance Executive; Food Safety Executive; Food Safety Manager; Import Coordinator; Logistics Coordinator; Logistics Executive; Operations Executive; Procurement Executive; QA Executive; QA Manager; Quality Control Manager; Quality Manager; Regulatory Affairs Executive; Shipping Executive; Supply Chain Coordinator; Supply Chain Executive; Trade Compliance Executive; Warehouse Executive,Central; Islandwide
RN CARE PTE. LTD.,28,"Assistant Manager, QA; Assistant Quality Manager (Aerospace); Customer Service Executive (Import and Export); Customer Service Executive (Manufacturing); Inventory Executive (Automotive); Logistic Coordinator (Import and Export); QA Executive; QA Manager (Aerospace); Sales Support Executive (Import and Export)",Compliance Executive; Export Coordinator; Import Coordinator; Import Export Executive; QA Executive; QA Manager; Quality Control Manager; Shipping Executive; Warehouse Executive,Islandwide; North
FLINTEX CONSULTING PTE. LTD.,28,Air Import  /  Export Operations Executive; Assistant Campus Manager; Assistant Project Manager - Aircon Industry; Customer Service Executive; Procurement Executive  /  Engineer; Purchasing Planning Executive  /  Senior Executive; Regional Program Executive ( Implementation ); Regional Program Management Executive; Regional Tender Executive; Senior Sales Executive /  Assistant Sales Manager ( Ocean Freight ),Document Controller; Import Export Executive; Logistics Coordinator; Logistics Executive; Procurement Executive; QA Manager; Supply Chain Executive; Trade Compliance Executive,Central
TRUST RECRUIT PTE. LTD.,25,After Sales Support Executive (Order Processing  /  Shipping  /  LC  /  Incoterms  /  West); Logistics Coordinator(Central / Bulk Shipment); Logistics Executive (Shipping docs  /  High Volume  /  Hybrid Work Arrangement); NPD Quality Engineer; Operation Executive ( LC /  Suntec); Operations Senior Officer /  Executive (Central / MNC); Purchasing Executive (Procurement /  Lighting); Sales Support Executive (Logistics operations  /  Shipping docs); Senior Administrative Executive (Admin  /  Procurement  /  Property Management) HSW; Service Logistics Coordinator; Shipping Operations Officer  /  Executive (Trading  /  LC knowledge); Strategy Assistant Manager  /  Manager (F&B  /  projects  /  planning) West! HSW; Urgent !!! Sales Coordinator; Urgent! Administration Executive (Central) JL18,Export Coordinator; Food Safety Manager; Import Coordinator; Import Export Executive; Logistics Coordinator; Logistics Executive; Operations Executive; Procurement Executive; QA Manager; Quality Control Manager; Quality Manager; Shipping Executive; Supply Chain Coordinator; Supply Chain Executive; Trade Compliance Executive; Warehouse Executive,Central; Islandwide
PASONA SINGAPORE PTE. LTD.,18,(Air) Export Customer Service Officer /  Executive; Administrative Assistant (Japanese Speaking); Export Customer Service Officer /  Executive (Airfreight) - KV; HR & Admin Executive (Japanese Speaking); HR & Admin Executive (Manufacturing) - KV; Logistics Officer - JY; Meeting & Events Sales Executive / AM - JY; Petroleum Operations Executive - CK; Production control & Shipping Executive; Sales Coordinator- KV; Supply Chain Coordinator- KV,Compliance Executive; Documentation Executive; Export Coordinator; Import Coordinator; Logistics Coordinator; Logistics Executive; Operations Executive; Regulatory Affairs Executive; Shipping Executive; Supply Chain Coordinator; Trade Compliance Executive; Warehouse Executive,Central; East; Islandwide
PERSOL SINGAPORE PTE. LTD.,15,(UP $3.5K) Customer Service Executive (1 yr |Tanjong Pagar); (UP $4.3K) Logistic Trade Export Compliance Executive (Hybrid); (UP $4.3K) Logistic Trade Export Compliance Executive /  Specialist (HYBRID); Affiliate Marketing Operation Executive; Customer Service & Supply Chain Executive (ID: 691977); Document Controller (Construction); Event Coordinator Specialist B2B (12 months contract) UID:2269; HR Admin Executive; Marketing Operations Executive (Affiliate Program) - 1 Year; Programme Executive (Academy) | Novena; Site Admin (Construction) PNHP; Supply Chain Coordinator (ID: 690694),Compliance Executive; Document Controller; Export Coordinator; Import Coordinator; Logistics Coordinator; Logistics Executive; Operations Executive; Procurement Executive; Quality Assurance Executive; Supply Chain Coordinator; Trade Compliance Executive,Central; Islandwide
GOOD JOB CREATIONS (SINGAPORE) PTE. LTD.,12,"Accounts Executive (Japanese speaking) |Upto $5,000; Deputy Section Manager (Civil | LTA Projects); Executive, Reinsurance Technical Accounts; Japanese-Speaking B2B Sales Executive | Up to $5,000; Senior Freight Executive (Air / Sea / import / export I East I Up to $4K); Trade Executive (Japanese Speaking)",Compliance Executive; Documentation Executive; Import Export Executive; Logistics Executive; Operations Executive; QA Manager; Shipping Executive; Supply Chain Executive; Trade Compliance Executive,Islandwide
DIRECT SEARCH ASIA PTE. LTD.,11,Marine Fire & Safety Services Manager; Operations Executive (FSU & Chartering); Operations Executive (Terminal Operations & Chartering); Post-Fixture Executive (Dry Bulk); Procurement Executive (Marine); Trade Operations Executive (Dry Bulk),Compliance Executive; Logistics Executive; Procurement Executive; Quality Control Manager; Shipping Executive; Supply Chain Executive; Trade Compliance Executive,Central; Islandwide
RECRUIT LYNC PTE. LTD.,11,Fulfillment Planner (Manufacturing Industry) | No Exp Needed!!!; Hazardous Waste Management - BD Executive; Logistic Coordinator; Production Engineer | No Exp Needed!; Senior Supply Chain Executive ($5500); Store Coordinator – Semiconductor  /  Electronics Equipment,Logistics Coordinator; Logistics Executive; QA Manager; Supply Chain Executive; Trade Compliance Executive,East; North; West
EA RECRUITMENT PTE. LTD.,11,Assistant  /  Electrical Engineer (PLC  /  HVAC  /  Mechatronics Engineering); Assistant Store Manager (Retail operation  /  5 Days); B2B Sales Executive (Retail  /  5 Days); Business Development Executive (Freight Forwarding); Customer Service Coordinator (Logistics  /  Freight Forwarding  /  5 Days  /  West); Operation Manager (Retail Industry  /  5 Days); Procurement Coordinator  /  Procurement Officer (Import  /  Quotation  /  Shipment); QC Laboratory Supervisor (MNC I Wet Chemistry I Manual Testing); Warehouse Supervisor  /  Warehouse Executive (Logistics  /  Supply Chain); Warehouse Supervisor (Logistics | F&B Industry),Document Controller; Logistics Coordinator; Logistics Executive; Operations Executive; Quality Control Manager; Warehouse Executive,Islandwide
LESUS ENGINEERING PTE. LTD.,11,BIM Engineer; BIM Modeler; Construction Superintendent; Project Manager; QAQC Lead; Site Engineer; Site Manager,QA Manager; Quality Control Manager; Quality Manager,Islandwide; West
HYPERSCAL SOLUTIONS PTE. LTD.,11,"Administrative Executive (10-month contract), OAFA; Executive , Case Management (JSNH); Executive / Senior Executive, Event Management Services; Executive / Senior Executive, Venue Operations; Project Manager; Senior Manager, Community Hubs (East Cluster)",Operations Executive; QA Manager; Quality Manager; Trade Compliance Executive,East; North; South
SUKI-YA HOLDINGS PTE. LTD.,11,Assistant Restaurant Manager; Management Trainee (Operations); Restaurant Manager; Restaurant Operations Manager; Senior Restaurant Manager; Senior Restaurant Operations Manager,Quality Control Manager; Quality Manager,Islandwide
DECLARATORS LOGISTICS PTE. LTD.,9,Logistics Coordinator; Logistics Operation Executive; Logistics Operation Executive (Night Shift); Warehouse Operation Executive,Compliance Executive; Export Coordinator; Import Coordinator; Logistics Coordinator; Logistics Executive; Operations Executive; Warehouse Executive,Central
MCI CAREER  SERVICES PTE. LTD.,9,Facilities Executive [ Building | Government sector ]; HR cum Admin Executive [SCHR]; Purchasing Executive ( Supply Chain  /  East  /  AWS + VB),Compliance Executive; Documentation Executive; Logistics Executive; Operations Executive; Procurement Executive; Supply Chain Executive,West
RK RECRUITMENT PTE. LTD.,9,"Customer Service Executive [Monthly $3500  /  Office Hour, 5 Days]; District Manager (Sneaker /  Fashion) - ZC; Logistics Executive (Up to $3500 Basic  /  Tuas Area) #CareerProgression; Marketing Executive",Compliance Executive; Documentation Executive; Logistics Executive; Operations Executive; Quality Control Manager; Supply Chain Executive,Islandwide
GMP RECRUITMENT SERVICES (S) PTE LTD,9,"Accounting Executive (Central); Digital Marketing & E-Commerce Executive; Inventory & Warehouse Coordinator; Procurement & Administrative Executive; Regional Executive, Supply Chain Trade Compliance (Electronic MNC).; Regional Marketing Executive, ASEAN (Tech MNC |Renewable Contract)",Documentation Executive; Import Export Executive; Logistics Executive; Operations Executive; Procurement Executive; Supply Chain Coordinator; Trade Compliance Executive,Central
STAFFKING PTE. LTD.,9,Logistics Executive [Salary up to $4500  /  Central]; Purchase Executive【5 days | Immediate Hiring】; Purchasing Executive (Marine / Offshore)-Basic $3800 / 5d / East; Purchasing Executive (Marine / Vessel)-Basic $4000 / 5d / East; Sales Admin  /  Sales Coordinator -[Hardware Supplies  /  Marine Supplies] - 5days,Import Export Executive; Logistics Coordinator; Logistics Executive; Procurement Executive; Supply Chain Executive; Trade Compliance Executive; Warehouse Executive,Central; Islandwide
INTUIT RECRUITMENT PTE. LTD.,8,Assistant QA / QC Manager (Construction); Assistant Technical Manager (MEP  /  Commissioning); Document Controller; QA Executive (Food Science /  Food Technology); QC Executive (Food Science  /  Food Technology  /  Biotechnology); Quality Assurance Executive (Food Science /  Food Technology); Sales Admin Assistant /  Executive; Shipping Executive,Document Controller; QA Executive; QA Manager; QC Executive; Shipping Executive; Warehouse Executive,Central; Islandwide
New Hope Community Services,8,Client Engagement Executive; Client Engagement Officer; Client Engagement Officer (Transit Point @ Margaret Drive); Programme Executive,Compliance Executive; Operations Executive; Quality Assurance Executive; Quality Manager,Islandwide
STANDARD CHARTERED BANK,8,"Audit Director - Rates and FXO Trading; Auditor - CIB; CFO, Cash Management and FSS; Director, CFCR CIB TB Trade",Quality Assurance Executive; Trade Compliance Executive,Islandwide
S & D CONTRACTOR PTE. LTD.,8,ASSISTANT PROJECT MANAGER; DOCUMENT CONTROLLER; HR EXECUTIVE; MANPOWER COORDINATOR; PROJECT ENGINEER; PROJECT MANAGER; WSH MANAGER,Compliance Executive; Document Controller; Logistics Coordinator; Operations Executive; QA Manager; Quality Control Manager,Islandwide
ASCENSION ADVISORY PTE. LTD.,8,"Customer Service Executive (MNC, 5 Days, Pasir Panjang, Up to $4,600 Basic Salary + AWS + Variable Bonus); QC Checker (MNC  /  5 Days  /  Up to $1,680 + Attendance Allowance + AWS  /  High OT  /  Tuas  /  Company Transport Provided); Shipping Executive (5 Days  /  Up to $3,800 + Variable Bonus  /  Jurong Port); Shipping Executive (5 Days  /  Up to $4,000 + Variable Bonus  /  Jurong Port)",Import Export Executive; QA Manager; Shipping Executive; Supply Chain Executive; Trade Compliance Executive,Islandwide
AIM RECRUIT CONSULTANCY PTE. LIMITED,8,BIM Coordinator  - Central; Client Management Executive  / (Customer Service)- Ubi; Customer Service Officer /  Executive (Export) @Alps Ave; Export Sales Coordinator @Joo Koon; Safety Executive  @Toh Guan; Sales Coordinator @Joo Koon; Warehouse Coordinator  / Rotating Shift @Alps Ave,Document Controller; Export Coordinator; Logistics Coordinator; Logistics Executive; Supply Chain Coordinator; Supply Chain Executive; Warehouse Executive,Islandwide
RANDSTAD PTE. LIMITED,8,"Executive Assistant; Revit BIM Modeler(M&E  /  Structural & Architectural) 5 day Work; Sales Support Executive - LC; Senior Executive, Regulatory Affairs & Quality (Health Supplements / VDS); Trade Execution Coordinator (Contract); document controller",Document Controller; Food Safety Executive; Import Coordinator; Regulatory Affairs Executive; Supply Chain Coordinator; Supply Chain Executive,Central; Islandwide
RECRUIT NOW SINGAPORE PTE. LTD.,8,"Marketing Executive (Enrichment Centers) - S$3,500-$4,500 + Bonus; Procurement & Supply Chain Operations Specialist; Senior Executive / Executive (Examination Unit); Supply Chain Coordinator (Thermoplastic)@Woodlands",Compliance Executive; Documentation Executive; Operations Executive; Procurement Executive; Quality Manager; Supply Chain Coordinator,Islandwide
CALIBER8 PTE. LTD.,8,"Technical Executive (Gas Fleet), Singapore; Technical Executive, Tanker (Procurement)",Compliance Executive; Logistics Executive; Operations Executive; Procurement Executive; Supply Chain Executive,East
SEATRIUM (SG) PTE. LTD.,8,"Executive (Subcontracting); Logistics Executive; Procurement Executive (Scrap Disposal, Waste Management); QA Engineer (Various Discipline); Senior  /  Logistics Executive; Senior  /  Procurement Executive (Buyer)",Document Controller; Procurement Executive; Quality Assurance Executive; Supply Chain Executive; Warehouse Executive,Islandwide; West
PEOPLE PROFILERS PTE. LTD.,7,Contact Centre Executive; HR Executive (Generalist); HR Executive (Regional Exposure); Quality Executive; SHIPPING EXECUTIVE – TRADING HOUSE MNC,Compliance Executive; Operations Executive; QA Executive; Shipping Executive,Central; Islandwide
SHENG SHENG F & B INDUSTRIES PTE LTD,7,Purchasing & Export Executive; Sales & Shipping Executive; Sales Executive (Key Account Executive) FMCG; Sales Manager (Key Account Executive) FMCG,Import Export Executive; Shipping Executive,West
TALENTVUE PTE. LTD.,7,"*IMMEDIATE* Purchasing Executive  /  Buyer (Food Manufacturing  /  F&B, Tuas); Marine Executive  /  Operations Executive (Loyang); Senior  /  QA Manager (Food Manufacturing, Tuas); Shipping Manager (Food Manufacturing, Tuas)",QA Manager; Shipping Executive; Supply Chain Executive; Trade Compliance Executive,Islandwide
SATA COMMHEALTH,7,"Administrative Executive (Kidney Dialysis Centre); Executive, Fundraising; IT Application Support Executive; Quality Management Executive; Staff Nurse (Home Care)",Document Controller; Documentation Executive; Logistics Executive; Operations Executive; Procurement Executive; Quality Control Manager,East; North
Ceva Logistics Solutions Singapore PTE. LTD.,7,Customer Service Executive - Airfreight; Gateway Import Executive; Senior  /  Customer Service Officer  /  Executive - Seafreight,Compliance Executive; Import Export Executive; Logistics Executive; Procurement Executive; Supply Chain Executive,East; Islandwide
RMR INTERNATIONAL PRIVATE LIMITED,7,BUSINESS DEVELOPMENT MANAGER; LOGISTICS MANAGER; MANAGING DIRECTOR (COMPANY),Food Safety Manager; Import Export Executive; Quality Assurance Executive; Trade Compliance Executive; Warehouse Executive,Islandwide
TAJIMAYA YAKINIKU PTE. LTD.,7,Assistant Restaurant Manager; Management Trainee (Operations); Restaurant Manager; Restaurant Operations Manager; Senior Restaurant Manager; Senior Restaurant Operations Manager,Quality Control Manager; Quality Manager,Islandwide
TALENTVIS SINGAPORE PTE. LTD.,7,Export Manager [ West ]; Senior Client Experience & Events Specialist; Supply Chain Executive (No Exp | UP$4200 | Town),Import Export Executive; Logistics Executive; Operations Executive; Quality Manager; Trade Compliance Executive; Warehouse Executive,Central; Islandwide
TUNG LOK MILLENNIUM PTE LTD,6,Quality Assurance Executive,Compliance Executive; Documentation Executive; Food Safety Executive; Operations Executive; QA Executive; Quality Assurance Executive,North
TUNG LOK CATERING,6,Quality Assurance Executive,Compliance Executive; Documentation Executive; Food Safety Executive; Operations Executive; QA Executive; Quality Assurance Executive,North
BUSINESS EDGE PERSONNEL SERVICES PTE LTD,6,Admin Receptionist; Office Admin cum PA (Family Office) / CBD / Up to $7000 (Ref. EK); Sales Executive (Automotive / Senoko / Basic+Comms) Ref: JY,Compliance Executive; Documentation Executive; Operations Executive; QC Executive; Shipping Executive,Central
MORGAN MCKINLEY PTE. LTD.,6,Client Service Executive - up to 12months - up to S$3.8k; Finance Operations Executive (IT Planning),Compliance Executive; Documentation Executive; Operations Executive; Procurement Executive; Quality Manager; Trade Compliance Executive,Central; Islandwide
HITEC SOURCING PTE. LTD.,6,Procurement Executive,Compliance Executive; Documentation Executive; Logistics Executive; Operations Executive; Procurement Executive; Supply Chain Executive,Islandwide
